Year,Month,percent,regionId,date,regionName,
1880,Jan,-0.73,1,1880 Jan,Global,
1880,Feb,-0.33,1,1880 Feb,Global,
1880,Mar,-0.4,1,1880 Mar,Global,
1880,Apr,-0.58,1,1880 Apr,Global,
1880,May,-0.28,1,1880 May,Global,
1880,Jun,-0.4,1,1880 Jun,Global,
1880,Jul,-0.4,1,1880 Jul,Global,
1880,Aug,0.15,1,1880 Aug,Global,
1880,Sep,-0.41,1,1880 Sep,Global,
1880,Oct,-0.59,1,1880 Oct,Global, 
1880,Nov,-0.43,1,1880 Nov,Global,
1880,Dec,-0.45,1,1880 Dec,Global,
1881,Jan,-0.72,1,1881 Jan,Global,
1881,Feb,-0.54,1,1881 Feb,Global,
1881,Mar,-0.29,1,1881 Mar,Global,
1881,Apr,-0.17,1,1881 Apr,Global,
1881,May,0.06,1,1881 May,Global,
1881,Jun,-1.02,1,1881 Jun,Global,
1881,Jul,-0.45,1,1881 Jul,Global,
1881,Aug,-0.17,1,1881 Aug,Global,
1881,Sep,-0.26,1,1881 Sep,Global,
1881,Oct,-0.4,1,1881 Oct,Global,
1881,Nov,-0.45,1,1881 Nov,Global,
1881,Dec,-0.06,1,1881 Dec,Global,
1882,Jan,0.18,1,1882 Jan,Global,
1882,Feb,-0.05,1,1882 Feb,Global,
1882,Mar,-0.02,1,1882 Mar,Global,
1882,Apr,-0.53,1,1882 Apr,Global,
1882,May,-0.32,1,1882 May,Global,
1882,Jun,-0.96,1,1882 Jun,Global,
1882,Jul,-0.65,1,1882 Jul,Global,
1882,Aug,-0.04,1,1882 Aug,Global,
1882,Sep,-0.01,1,1882 Sep,Global,
1882,Oct,-0.24,1,1882 Oct,Global,
1882,Nov,-0.33,1,1882 Nov,Global,
1882,Dec,-0.61,1,1882 Dec,Global,
1883,Jan,-0.62,1,1883 Jan,Global,
1883,Feb,-0.88,1,1883 Feb,Global,
1883,Mar,-0.39,1,1883 Mar,Global,
1883,Apr,-0.25,1,1883 Apr,Global,
1883,May,-0.29,1,1883 May,Global,
1883,Jun,0.52,1,1883 Jun,Global,
1883,Jul,0.05,1,1883 Jul,Global,
1883,Aug,-0.08,1,1883 Aug,Global,
1883,Sep,-0.38,1,1883 Sep,Global,
1883,Oct,-0.48,1,1883 Oct,Global,
1883,Nov,-0.62,1,1883 Nov,Global,
1883,Dec,-0.32,1,1883 Dec,Global,
1884,Jan,-0.53,1,1884 Jan,Global,
1884,Feb,-0.27,1,1884 Feb,Global,
1884,Mar,-0.33,1,1884 Mar,Global,
1884,Apr,-0.86,1,1884 Apr,Global,
1884,May,-1.12,1,1884 May,Global,
1884,Jun,-0.75,1,1884 Jun,Global,
1884,Jul,-0.78,1,1884 Jul,Global,
1884,Aug,0.23,1,1884 Aug,Global,
1884,Sep,-0.29,1,1884 Sep,Global,
1884,Oct,-0.69,1,1884 Oct,Global,
1884,Nov,-0.74,1,1884 Nov,Global,
1884,Dec,-0.92,1,1884 Dec,Global,
1885,Jan,-0.86,1,1885 Jan,Global,
1885,Feb,-0.73,1,1885 Feb,Global,
1885,Mar,-0.85,1,1885 Mar,Global,
1885,Apr,-0.8,1,1885 Apr,Global,
1885,May,-0.43,1,1885 May,Global,
1885,Jun,-0.87,1,1885 Jun,Global,
1885,Jul,-0.56,1,1885 Jul,Global,
1885,Aug,-0.09,1,1885 Aug,Global,
1885,Sep,-0.08,1,1885 Sep,Global,
1885,Oct,0.04,1,1885 Oct,Global,
1885,Nov,-0.31,1,1885 Nov,Global,
1885,Dec,0.08,1,1885 Dec,Global,
1886,Jan,-0.7,1,1886 Jan,Global,
1886,Feb,-0.76,1,1886 Feb,Global,
1886,Mar,-0.62,1,1886 Mar,Global,
1886,Apr,-0.56,1,1886 Apr,Global,
1886,May,-0.48,1,1886 May,Global,
1886,Jun,-0.75,1,1886 Jun,Global,
1886,Jul,-0.33,1,1886 Jul,Global,
1886,Aug,-0.66,1,1886 Aug,Global,
1886,Sep,-0.36,1,1886 Sep,Global,
1886,Oct,-0.79,1,1886 Oct,Global,
1886,Nov,-0.43,1,1886 Nov,Global,
1886,Dec,-0.69,1,1886 Dec,Global,
1887,Jan,-0.81,1,1887 Jan,Global,
1887,Feb,-1.21,1,1887 Feb,Global,
1887,Mar,-0.53,1,1887 Mar,Global,
1887,Apr,-0.78,1,1887 Apr,Global,
1887,May,-0.8,1,1887 May,Global,
1887,Jun,-0.61,1,1887 Jun,Global,
1887,Jul,-0.35,1,1887 Jul,Global,
1887,Aug,-0.18,1,1887 Aug,Global,
1887,Sep,-0.55,1,1887 Sep,Global,
1887,Oct,-0.49,1,1887 Oct,Global,
1887,Nov,-0.85,1,1887 Nov,Global,
1887,Dec,-0.59,1,1887 Dec,Global,
1888,Jan,-0.71,1,1888 Jan,Global,
1888,Feb,-0.78,1,1888 Feb,Global,
1888,Mar,-0.87,1,1888 Mar,Global,
1888,Apr,-0.27,1,1888 Apr,Global,
1888,May,-0.73,1,1888 May,Global,
